wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 15:00:00
TIMESTAMP_END = 2022-05-14 15:29:59.950000
N: 648000
TIME_BUFFER (applied both in front and after) [min] = 1215.0
mother_wavelet -> dwt ~
acquisition_frequency [Hz] = 20.0
averaging_interval = 30min
value -> wavelet_reconstructed or quality control/statistics
natural_frequency -> The upper frequency of the frequency band which the data is accounted to
natural_frequency,variable,value
7.62939453125e-05,w,-0.0007724903480720163
0.000152587890625,w,0.002255587530111802
0.00030517578125,w,0.0012710277170197943
0.0006103515625,w,-0.0058884717586724054
0.001220703125,w,0.0015587290177341221
0.00244140625,w,0.002139617721801
0.0048828125,w,-1.6992633969923524e-05
0.009765625,w,-0.001046099613072845
0.01953125,w,0.0002948871387517221
0.0390625,w,0.00013613693745706892
0.078125,w,-4.602913570328309e-05
0.15625,w,0.00013446412254178558
0.3125,w,-5.70757278941703e-05
0.625,w,9.706422005947682e-06
1.25,w,6.384685761593868e-06
2.5,w,4.166871198177712e-06
5.0,w,-1.09817921020651e-06
10.0,w,7.66382418068006e-07
7.62939453125e-05,w_qc,1.0
0.000152587890625,w_qc,1.0
0.00030517578125,w_qc,1.0
0.0006103515625,w_qc,1.0
0.001220703125,w_qc,1.0
0.00244140625,w_qc,1.0
0.0048828125,w_qc,1.0
0.009765625,w_qc,1.0
0.01953125,w_qc,1.0
0.0390625,w_qc,1.0
0.078125,w_qc,1.0
0.15625,w_qc,1.0
0.3125,w_qc,1.0
0.625,w_qc,1.0
1.25,w_qc,1.0
2.5,w_qc,1.0
5.0,w_qc,1.0
10.0,w_qc,1.0
7.62939453125e-05,co2,398.7033770825751
0.000152587890625,co2,0.4837262455411408
0.00030517578125,co2,0.9117424263102869
0.0006103515625,co2,0.13131980065816304
0.001220703125,co2,0.015691585832258544
0.00244140625,co2,-0.15560678658814628
0.0048828125,co2,0.043763159649516534
0.009765625,co2,0.0457238380595955
0.01953125,co2,-0.00993599189087907
0.0390625,co2,-0.008577207878009436
0.078125,co2,6.597193564343748e-05
0.15625,co2,-0.001311015767459164
0.3125,co2,0.0028882911798719132
0.625,co2,-8.417564417038371e-05
1.25,co2,2.4658109532838027e-05
2.5,co2,8.618678763733279e-05
5.0,co2,1.1292351239270534e-06
10.0,co2,1.2738363415881867e-06
7.62939453125e-05,co2_qc,0.9997777777777778
0.000152587890625,co2_qc,0.9997777777777778
0.00030517578125,co2_qc,0.9997777777777778
0.0006103515625,co2_qc,0.9997777777777778
0.001220703125,co2_qc,0.9997777777777778
0.00244140625,co2_qc,0.9997777777777778
0.0048828125,co2_qc,0.9997777777777778
0.009765625,co2_qc,0.9997777777777778
0.01953125,co2_qc,0.9997777777777778
0.0390625,co2_qc,0.9997777777777778
0.078125,co2_qc,0.9997777777777778
0.15625,co2_qc,0.9997777777777778
0.3125,co2_qc,0.9997777777777778
0.625,co2_qc,0.9997777777777778
1.25,co2_qc,0.9997777777777778
2.5,co2_qc,0.9997777777777778
5.0,co2_qc,0.9997777777777778
10.0,co2_qc,0.9997777777777778
7.62939453125e-05,h2o,10.277770266731904
0.000152587890625,h2o,-0.06566746648065472
0.00030517578125,h2o,-0.09108590455944991
0.0006103515625,h2o,-0.0605633912789461
